VCD info: dumpfile results/tb_grid.vcd opened for output.
Time: 3802565 | din: 192 | trig: 0 | rst: 0 | dout0:   7 | dout1:   0 | dout2:   4 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3901970 | din: 165 | trig: 1 | rst: 0 | dout0:   7 | dout1:   0 | dout2:   4 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3902020 | din: 165 | trig: 0 | rst: 0 | dout0:   7 | dout1:   0 | dout2:   4 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3902045 | din: 165 | trig: 0 | rst: 0 | dout0:   7 | dout1:   0 | dout2:   3 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3902215 | din: 165 | trig: 0 | rst: 0 | dout0:   8 | dout1:   0 | dout2:   2 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3902395 | din: 165 | trig: 0 | rst: 0 | dout0:   8 | dout1:   0 | dout2:   1 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3902565 | din: 165 | trig: 0 | rst: 0 | dout0:   8 | dout1:   0 | dout2:   0 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3902815 | din: 165 | trig: 0 | rst: 0 | dout0:   9 | dout1:   0 | dout2:   0 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 3902835 | din: 165 | trig: 0 | rst: 0 | dout0:   9 | dout1:   1 | dout2:   0 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 4002020 | din: 118 | trig: 1 | rst: 0 | dout0:   9 | dout1:   1 | dout2:   0 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 4002070 | din: 118 | trig: 0 | rst: 0 | dout0:   9 | dout1:   1 | dout2:   0 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 4002135 | din: 118 | trig: 0 | rst: 0 | dout0:   8 | dout1:   1 | dout2:   0 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 4002155 | din: 118 | trig: 0 | rst: 0 | dout0:   8 | dout1:   1 | dout2:   0 | dout3:  10 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 4002415 | din: 118 | trig: 0 | rst: 0 | dout0:   7 | dout1:   1 | dout2:   0 | dout3:  10 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 4002435 | din: 118 | trig: 0 | rst: 0 | dout0:   7 | dout1:   1 | dout2:   1 | dout3:  10 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 4002445 | din: 118 | trig: 0 | rst: 0 | dout0:   7 | dout1:   1 | dout2:   1 | dout3:   9 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
